oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Orange,Neva jet 5G,"2019, November","Available. Released 2019, November",159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in),171 g (6.03 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.47 inches, 102.8 cm (~87.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), MiFavor 9.1"
Orange,Gova,"2014, February. Released 2014, April",Discontinued,7.9 mm thickness,-,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm","540 x 960 pixels, 16:9 ratio (~245 ppi density)","Accelerometer, proximity",Android 4.3 (Jelly Bean)
Palm,Treo 650,"2004, Q4",Discontinued,113 x 59 x 23 mm (4.45 x 2.32 x 0.91 in),178 g (6.28 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.4 inches, 44 x 44 mm, 18.6 cm (~27.9% screen-to-body ratio)","320 x 320 pixels, 1:1 ratio (~189 ppi density)",V1,Palm 5.4
Panasonic,Eluga I7 (2019),"2019, June","Available. Released 2019, July",148.8 x 70.9 x 9.3 mm (5.86 x 2.79 x 0.37 in),168 g (5.93 oz),"Dual SIM (Nano-SIM/Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm (~72.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
Panasonic,Eluga DL1,"2012, February. Released 2012, April",Discontinued,123 x 62 x 7.8 mm (4.84 x 2.44 x 0.31 in),103 g (3.63 oz),Micro-SIM,"OLED capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm (~66.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)","Accelerometer, proximity, compass","Android 2.3.5 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)"
Panasonic,VS7,"2005, Q1",Discontinued,"102 x 51 x 18.8 mm, 89 cc (4.02 x 2.01 x 0.74 in)",113 g (3.99 oz),Mini-SIM,"TFT, 16M colors",,"320 x 240 pixels, 4:3 ratio",V1,
Panasonic,MX7,"2005, Q1",Discontinued,"102 x 51 x 26 mm, 118 cc (4.02 x 2.01 x 1.02 in)",144 g (5.08 oz),Mini-SIM,"TFT, 16M colors",,"240 x 320 pixels, 4:3 ratio",V1,
Panasonic,SA7,"2005, Q1",Discontinued,"102 x 53 x 26 mm, 116 cc (4.02 x 2.09 x 1.02 in)",140 g (4.94 oz),Mini-SIM,"TFT, 16M colors",,"240 x 320 pixels, 4:3 ratio",V1,
Panasonic,X70,"2003, Q3",Discontinued,"87 x 47 x 24 mm, 80 cc (3.43 x 1.85 x 0.94 in)",95 g (3.35 oz),Mini-SIM,"TFT, 65K colors",,"132 x 176 pixels, 7 lines, 4:3 ratio",V1,
Panasonic,GD87,"2002, November",Discontinued,97 x 49 x 23 mm (3.82 x 1.93 x 0.91 in),103 g (3.63 oz),Mini-SIM,"TFT, 65K colors",,"132 x 176 pixels, 4:3 ratio",V1,
Panasonic,GD67,2002,Discontinued,"109 x 45 x 20 mm, 81 cc (4.29 x 1.77 x 0.79 in)",81 g (2.86 oz),Mini-SIM,"STN, 256 colors",,"101 x 80 pixels, 6 lines",V1,
Panasonic,GD75,2001,Discontinued,"106 x 46 x 16 mm, 75 cc (4.17 x 1.81 x 0.63 in)",82 g (2.89 oz),Mini-SIM,Monochrome graphic,,6 lines,V1,
Panasonic,GD35,2001,Discontinued,120 x 46 x 20 mm (4.72 x 1.81 x 0.79 in),109 g (3.84 oz),Mini-SIM,Monochrome graphic,,,V1,
Panasonic,GD93,2000,Discontinued,120 x 45 x 16.4 mm (4.72 x 1.77 x 0.65 in),80 g (2.82 oz),Mini-SIM,Monochrome graphic,,6 lines,V1,
Panasonic,GD30,1999,Discontinued,135 x 45 x 20 mm (5.31 x 1.77 x 0.79 in),135 g (4.76 oz),Mini-SIM,Monochrome graphic,,4 x 16 chars,V1,
Pantech,Crux,"2010, October. Released 2010, November",Discontinued,109 x 58 x 13 mm (4.29 x 2.28 x 0.51 in),122 g (4.30 oz),Mini-SIM,"TFT resistive touchscreen, 256K colors","3.0 inches, 25.6 cm (~40.5% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",V1,
Pantech,Laser P9050,"2010, October. Released 2010, October",Discontinued,113.8 x 57.9 x 10 mm (4.48 x 2.28 x 0.39 in),115 g (4.06 oz),Mini-SIM,"AMOLED resistive touchscreen, 256K colors","3.1 inches, 27.4 cm (~41.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~301 ppi density)",V1,
Pantech,GF100,"2005, Q1",Discontinued,82 x 44 x 22.5 mm (3.23 x 1.73 x 0.89 in),85 g (3.00 oz),Mini-SIM,"STN, 65K colors",,"128 x 128 pixels, 1:1 ratio",V1,
Pantech,GF200,"2004, Q2",Discontinued,81 x 42 x 22 mm (3.19 x 1.65 x 0.87 in),85 g (3.00 oz),Mini-SIM,"TFT, 256K colors",,128 x 160 pixels,V1,
Pantech,GB100,"2004, Q2",Discontinued,80 x 42 x 21 mm (3.15 x 1.65 x 0.83 in),80 g (2.82 oz),Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",V1,
Philips,W5510,"2013, September. Released 2013, September",Discontinued,116.2 x 63 x 13 mm (4.57 x 2.48 x 0.51 in),138.8 g (4.87 oz),Yes,TFT capacitive touchscreen,"3.5 inches, 36.5 cm (~49.8% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","Accelerometer, proximity",Android 4.1 (Jelly Bean)
Philips,W6350,"2012, November. Released 2012, November",Discontinued,125.2 x 63.9 x 11.5 mm (4.93 x 2.52 x 0.45 in),154 g (5.43 oz),Dual SIM (Mini-SIM),TFT capacitive touchscreen,"4.0 inches, 45.5 cm (~56.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Accelerometer, proximity",Android 2.3 (Gingerbread)
Philips,W930,"2012, July. Released 2012, July",Discontinued,110 x 57.8 x 22 mm (4.33 x 2.28 x 0.87 in),250 g (8.82 oz),Dual SIM (Mini-SIM),"Dual TFT capacitive touchscreen, 256K colors","3.2 inches, 30.5 cm (~48.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)","Accelerometer, proximity",Android 2.3 (Gingerbread)
Philips,362,"2005, Q2",Discontinued,"100 x 45 x 18 mm, 75 cc (3.94 x 1.77 x 0.71 in)",83 g (2.93 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,V1,
Philips,868,"2005, Q2",Cancelled,92 x 45 x 26 mm (3.62 x 1.77 x 1.02 in),110 g (3.88 oz),Mini-SIM,"TFT resistive touchscreen, 256K colors",,"128 x 160 pixels, 8 lines",V1,
Philips,859,"2004, Q3",Discontinued,"88 x 46 x 23 mm, 77 cc (3.46 x 1.81 x 0.91 in)",94 g (3.32 oz),Mini-SIM,"TFT, 65K colors",,"128 x 160 pixels,  7 lines",V1,
Philips,Fisio 625,2002,Discontinued,"104 x 46 x 20 mm, 73 cc (4.09 x 1.81 x 0.79 in)",85 g (3.00 oz),Mini-SIM,Graphics,,"101 x 80 pixels, 8 lines",V1,
Philips,Fisio 620,2002,Discontinued,"104 x 46 x 20 mm, 73 cc (4.09 x 1.81 x 0.79 in)",85 g (3.00 oz),Mini-SIM,Monochrome graphic,,"101 x 80 pixels, 8 lines",V1,
Philips,Fisio 610,2001,Discontinued,110 x 45 x 18 mm (4.33 x 1.77 x 0.71 in),90 g (3.17 oz),Mini-SIM,Monochrome graphic,,5 lines,V1,
Philips,Azalis 268,2000,Discontinued,119 x 44 x 22 mm (4.69 x 1.73 x 0.87 in),99 g (3.49 oz),Mini-SIM,Monochrome graphic,,5 lines,V1,
Philips,Azalis 238,2000,Discontinued,"114 x 51 x 24 mm, 119 cc (4.49 x 2.01 x 0.94 in)",125 g (4.41 oz),Mini-SIM,Monochrome graphic,,5 lines,V1,
Philips,Diga,1997,Discontinued,147 x 56 x 19 mm (5.79 x 2.20 x 0.75 in),179 g (6.31 oz),Mini-SIM,Alphanumeric,,1 x 12 chars,V1,
Philips,Fizz,1996,Discontinued,162 x 60 x 17 mm (6.38 x 2.36 x 0.67 in),169 g (5.96 oz),Mini-SIM,Alphanumeric,,3 x 12 chars,V1,
Plum,Ram 8,"2018, December","Available. Released 2018, December",111.5 x 57.5 x 22 mm (4.39 x 2.26 x 0.87 in),134 g (4.73 oz),"Dual SIM (Mini-SIM, dual stand-by)","TFT, 256K colors","2.4 inches, 17.8 cm (~27.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",V1,
Qtek,8600,"2006, June",Discontinued,112.4 x 46 x 14.8 mm (4.43 x 1.81 x 0.58 in),120 g (4.23 oz),Mini-SIM,"TFT, 65K colors","2.2 inches, 34 x 45 mm, 15.0 cm (~29.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",V1,Microsoft Windows Mobile 5.0 Smartphone
Qtek,8300,"2005, August",Discontinued,107.5 x 46 x 17.5 mm (4.23 x 1.81 x 0.69 in),106 g (3.74 oz),Mini-SIM,"TFT, 65K colors","2.2 inches, 34 x 45 mm, 15.0 cm (~30.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",V1,Microsoft Windows Mobile 5.0 Smartphone
Qtek,8080,"2004, Q1",Discontinued,"120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)",130 g (4.59 oz),Mini-SIM,"TFT, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm (~25.4% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),V1,Microsoft Windows Mobile 2003 Smartphone
Qtek,8060,"2004, Q1",Discontinued,"120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)",130 g (4.59 oz),Mini-SIM,"TFT, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm (~25.4% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),V1,Microsoft Windows Mobile 2003 Smartphone
Qtek,1010,2003,Discontinued,129 x 73 x 18 mm (5.08 x 2.87 x 0.71 in),201 g (7.09 oz),Mini-SIM,"TFT resistive resistive touchscreen, 4096 colors","3.5 inches, 53 x 71 mm, 37.9 cm (~40.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~114 ppi density)",V1,Microsoft Windows Mobile 2002 PocketPC
Qtek,7070,"2004, Q1",Discontinued,"120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)",120 g (4.23 oz),Mini-SIM,"TFT, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm (~25.4% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),V1,Microsoft Windows 2002 Smartphone
Realme,X3 SuperZoom,"2020, May 26","Available. Released 2020, June 02",163.8 x 75.8 x 8.9 mm (6.45 x 2.98 x 0.35 in),202 g (7.13 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches, 105.2 cm (~84.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~399 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, Realme UI"
Realme,6S,"2020, May 26","Available. Released 2020, June 02",162.1 x 74.8 x 8.9 mm (6.38 x 2.94 x 0.35 in),191 g (6.74 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm (~84.1% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, Realme UI"
Realme,X50 Pro Player,"2020, May 25","Available. Released 2020, June 01",159 x 74.2 x 8.9 mm (6.26 x 2.92 x 0.35 in),209 g (7.37 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.44 inches, 100.1 cm (~84.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10, realme UI 1.0"
Realme,Narzo 10,"2020, May 11","Available. Released 2020, May 18",164.4 x 75.4 x 9 mm (6.47 x 2.97 x 0.35 in),199 g (7.02 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.8 cm (~82.9% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 10, Realme UI 1.0"
Realme,Narzo 10A,"2020, May 11","Available. Released 2020, May 22",164.4 x 75 x 9 mm (6.47 x 2.95 x 0.35 in),195 g (6.88 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.8 cm (~83.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 10, realme UI 1.0"
Realme,X50m 5G,"2020, April 23","Available. Released 2020, April 29",163.8 x 75.8 x 8.9 mm (6.45 x 2.98 x 0.35 in),194 g (6.84 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.57 inches, 105.3 cm (~84.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~399 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, Realme UI"
Realme,6i,"2020, March 17","Available. Released 2020, March 29",164.4 x 75.4 x 9 mm (6.47 x 2.97 x 0.35 in),199 g (7.02 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm (~82.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 10, Realme UI"
Realme,6 Pro,"2020, March 05","Available. Released 2020, March 13",163.8 x 75.8 x 8.9 mm (6.45 x 2.98 x 0.35 in),202 g (7.13 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches, 105.2 cm (~84.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~399 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, Realme UI"
Realme,X50 Pro 5G,"2020, February 24","Available. Released 2020, March 05",159 x 74.2 x 8.9 mm (6.26 x 2.92 x 0.35 in),205 g (7.23 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.44 inches, 100.1 cm (~84.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10, realme UI 1.0"
Realme,C3 (3 cameras),"2020, February 19","Available. Released 2020, February 20",164.4 x 75 x 9 mm (6.47 x 2.95 x 0.35 in),195 g (6.88 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm (~82.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 10, realme UI 1.0"
Realme,X50 5G,"2020, January 07","Available. Released 2020, January",163.8 x 75.8 x 8.9 mm (6.45 x 2.98 x 0.35 in),202 g (7.13 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.57 inches, 104.2 cm (~83.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, ColorOS 7"
Realme,5i,"2020, January 06","Available. Released 2020, January",164.4 x 75 x 9.3 mm (6.47 x 2.95 x 0.37 in),195 g (6.88 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.52 inches, 102.6 cm (~83.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), upgradable to Android 10, Realme UI"
Realme,5s,"2019, November 20","Available. Released 2019, November",164.4 x 75.6 x 9.3 mm (6.47 x 2.98 x 0.37 in),198 g (6.98 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.8 cm (~82.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), upgradable to Android 10, Realme UI"
Realme,C2s,"2020, January","Available. Released 2020, January",154.3 x 73.7 x 8.5 mm (6.07 x 2.90 x 0.33 in),166 g (5.86 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.1 inches, 91.3 cm (~80.3% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","Accelerometer, proximity, compass","Android 9.0 (Pie), ColorOS 6.1"
Realme,C2 2020,"2019, November","Available. Released 2019, November",154.3 x 73.7 x 8.5 mm (6.07 x 2.90 x 0.33 in),166 g (5.86 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.1 inches, 91.3 cm (~80.3% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","Accelerometer, proximity, compass","Android 9.0 (Pie), ColorOS 6 Lite"
Realme,X2 Pro,"2019, October 15","Available. Released 2019, October",161 x 75.7 x 8.7 mm (6.34 x 2.98 x 0.34 in),199 g (7.02 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.5 inches, 103.5 cm (~84.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), upgradable to Android 10, realme UI"
Realme,XT 730G,Not announced yet,Cancelled,158.7 x 75.2 x 8.6 mm (6.25 x 2.96 x 0.34 in),183 g (6.46 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm (~84.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), planned upgrade to Android 10, ColorOS 6"
Realme,XT,"2019, September 13","Available. Released 2019, September",158.7 x 75.2 x 8.6 mm (6.25 x 2.96 x 0.34 in),183 g (6.46 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm (~84.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), upgradable to Android 10, Realme UI"
Realme,5 Pro,"2019, August 20","Available. Released 2019, September",157 x 74.2 x 8.9 mm (6.18 x 2.92 x 0.35 in),184 g (6.49 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm (~83.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), upgradable to Android 10, Realme UI"
Realme,3i,"2019, July","Available. Released 2019, July",156.1 x 75.6 x 8.3 mm (6.15 x 2.98 x 0.33 in),175 g (6.17 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm (~81.3% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 9.0 (Pie), upgradable to Android 10, Realme UI"
Realme,3 Pro,"2019, April 22","Available. Released 2019, May",156.8 x 74.2 x 8.3 mm (6.17 x 2.92 x 0.33 in),172 g (6.07 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm (~83.7% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), planned upgrade to Android 10, ColorOS 6"
Sagem,my411C Oxbow,"2008, February. Released 2008",Discontinued,91 x 46 x 16.5 mm (3.58 x 1.81 x 0.65 in),87 g (3.07 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,V1,
Sagem,my230x,"2008, February. Released 2008",Discontinued,106 x 46 x 10 mm (4.17 x 1.81 x 0.39 in),65 g (2.29 oz),Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm (~20.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),V1,
Sagem,my900C,"2006, March",Cancelled,90 x 45 x 23.5 mm (3.54 x 1.77 x 0.93 in),115 g (4.06 oz),Mini-SIM,"TFT, 256K colors",,"240 x 320 pixels, 4:3 ratio",V1,
Sagem,my500X,"2006, March",Discontinued,100 x 46 x 16.5 mm (3.94 x 1.81 x 0.65 in),90 g (3.17 oz),Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,V1,
Sagem,my400V,"2007, February",Cancelled,105 x 46 x 14 mm (4.13 x 1.81 x 0.55 in),85 g (3.00 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,V1,
Sagem,my301X,"2005, Q4",Discontinued,105 x 46 x 14 mm (4.13 x 1.81 x 0.55 in),88 g (3.10 oz),Mini-SIM,"CSTN, 65K colors","1.7 inches, 9.3 cm (~19.3% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~106 ppi density)",V1,
Sagem,my200x,"2006, February",Discontinued,104 x 43 x 15.5 mm (4.09 x 1.69 x 0.61 in),76 g (2.68 oz),Mini-SIM,"CSTN, 4096 colors",,101 x 80 pixels,V1,
Sagem,my100X,"2006, February",Discontinued,104 x 42 x 15.5 mm (4.09 x 1.65 x 0.61 in),76 g (2.68 oz),Mini-SIM,Monochrome graphics,,101 x 64 pixels,V1,
Sagem,MY C2-3,"2005, Q4",Discontinued,"73 x 42 x 21 mm, 70 cc (2.87 x 1.65 x 0.83 in)",75 g (2.65 oz),Mini-SIM,"CSTN, 4096 colors",,"101 x 80 pixels, 6 lines",V1,
Sagem,myZ-5,"2006, February",Discontinued,85 x 42 x 23 mm (3.35 x 1.65 x 0.91 in),85 g (3.00 oz),Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,V1,
Sagem,MY C3-2,"2005, Q1",Discontinued,"77 x 41 x 22 mm, 70 cc (3.03 x 1.61 x 0.87 in)",75 g (2.65 oz),Mini-SIM,"CSTN, 65K colors",,"128  x 128 pixels, 6 lines, 1:1 ratio",V1,
Sagem,MY Z-55,"2005, Q1",Discontinued,81 x 41 x 24 mm (3.19 x 1.61 x 0.94 in),85 g (3.00 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,V1,
Sagem,MY X6-2,"2005, Q1",Discontinued,110 x 47 x 19 mm (4.33 x 1.85 x 0.75 in),104 g (3.67 oz),Mini-SIM,"TFT, 256K colors","2.0 inches, 31 x 39 mm, 12.6 cm (~24.3% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),V1,
Sagem,MY X2-2,"2005, Q1",Discontinued,105.6 x 46 x 20 mm (4.16 x 1.81 x 0.79 in),88 g (3.10 oz),Mini-SIM,4096 colors,,101 x 80 pixels,V1,
Sagem,MY C5-2,"2004, Q4",Discontinued,82 x 43 x 23 mm (3.23 x 1.69 x 0.91 in),80 g (2.82 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,V1,
Sagem,MY X1-2,"2005, Q1",Discontinued,106 x 47 x 21 mm (4.17 x 1.85 x 0.83 in),93 g (3.28 oz),Mini-SIM,Monochrome graphics,,"96 x 64 pixels, 3:2 ratio",V1,
Sagem,MY X-8,"2004, Q3",Discontinued,115 x 47 x 20.8 mm (4.53 x 1.85 x 0.82 in),125 g (4.41 oz),Mini-SIM,"TFT, 256K colors","2.2 inches, 34 x 45 mm, 15.0 cm (~27.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",V1,
Sagem,MY X-4,"2004, Q3",Discontinued,104 x 46 x 18 mm (4.09 x 1.81 x 0.71 in),95 g (3.35 oz),Mini-SIM,"TFT, 65K colors",,"120 x 160 pixels, 4:3 ratio",V1,
Sagem,MY S-7,"2004, Q1",Discontinued,"110 x 49 x 21 mm, 110 cc (4.33 x 1.93 x 0.83 in)",120 g (4.23 oz),Mini-SIM,"TFT, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm (~28.3% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),V1,Microsoft Smartphone 2003 SE
Sagem,MY Z-3,"2004, Q1",Discontinued,100 x 45 x 24 mm (3.94 x 1.77 x 0.94 in),105 g (3.70 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,V1,
Sagem,MY C2-2,"2004, Q2",Discontinued,85 x 44 x 21 mm (3.35 x 1.73 x 0.83 in),80 g (2.82 oz),Mini-SIM,"CSTN, 4096 colors",,"101 x 80 pixels, 6 lines",V1,
Sagem,SG 321i,"2004, Q1",Discontinued,100 x 45 x 24 mm (3.94 x 1.77 x 0.94 in),105 g (3.70 oz),Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,V1,
Sagem,MY V-55,"2004, Q2",Discontinued,106 x 46 x 19 mm (4.17 x 1.81 x 0.75 in),97 g (3.42 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,V1,
Sagem,MY X5-2,"2004, Q1",Discontinued,106 x 46 x 19 mm (4.17 x 1.81 x 0.75 in),97 g (3.42 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,V1,
Sagem,MY V-75,"2004, Q1",Discontinued,110 x 46 x 22 mm (4.33 x 1.81 x 0.87 in),106 g (3.74 oz),Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,V1,
Sagem,MY X-7,"2004, Q1",Discontinued,"110 x 46 x 22 mm, 111 cc (4.33 x 1.81 x 0.87 in)",106 g (3.74 oz),Mini-SIM,"TFT, 65K colors",,"128 x 160 pixels, 12 lines",V1,
Sagem,MY V-65,"2003, Q4",Discontinued,110 x 46 x 22 mm (4.33 x 1.81 x 0.87 in),106 g (3.74 oz),Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,V1,
Sagem,MY C-1,"2003, Q4",Discontinued,86 x 44 x 20 mm (3.39 x 1.73 x 0.79 in),80 g (2.82 oz),Mini-SIM,Monochrome graphic,,"96 x 64 pixels, 7 lines, 3:2 ratio",V1,
Sagem,MY X-1w,"2003, Q4",Discontinued,106 x 47 x 21 mm (4.17 x 1.85 x 0.83 in),93 g (3.28 oz),Mini-SIM,Monochrome graphic,,"64 x 96 pixels, 7 lines, 3:2 ratio",V1,
Sagem,MY C-2,"2003, Q4",Discontinued,82 x 42 x 23 mm (3.23 x 1.65 x 0.91 in),90 g (3.17 oz),Mini-SIM,"CSTN, 256 colors",,"101 x 80 pixels, 6 lines",V1,
